,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
John Skinner,John,Skinner,NC,yes,203400,313,5718.859901000001,313
John Smith,John,Smith,NY,yes,24900,43,2085.815269999999,43
John Sprague,John,Sprague,MA,yes,38700,55,9634.341729,55
John Steele,John,Steele,VA,no,4700,8,2886.3444299999996,8
John Stevens,John,Stevens,NJ,yes,399300,344,27727.495403000015,344
John Stewart,John,Stewart,MD,yes,11300,15,345.30137999999994,15
John Stringer,John,Stringer,VA,yes,1800,2,174.87497,2
John Swan,John,Swan,NC,yes,17000,14,2212.0874999999996,14
John Taylor,John,Taylor,MA,no,28500,31,8154.952690000001,31
John Taylor Gilman,John Taylor,Gilman,NH,yes,29000,32,8205.452690000002,32
John Thomas,John,Thomas,SC,yes,21500,31,2950.91383,31
John Thompson,John,Thompson,NC,yes,26500,44,2625.8361400000013,44
John Treadwell,John,Treadwell,CT,yes,1000,3,25.0,3
"John Tyler, Sr.",John,"Tyler, Sr.",VA,no,200,1,79.41944000000001,1
John Wallace,John,Wallace,NC,yes,11100,9,1171.0111700000002,9
John Watson,John,Watson,CT,yes,300,1,25.4875,1
John Weeks,John,Weeks,NH,yes,300,1,31.388890000000004,1
John Whitehill,John,Whitehill,PA,no,200,1,17.76944,1
John Williams,John,Williams,VA,yes,107500,176,9937.48332999999,176
John Willis,John,Willis,NC,yes,1500,2,71.83333,2
John Wilson,John,Wilson,VA,no,10000,26,2140.7318840000003,26
John Winthrop,John,Winthrop,MA,yes,4400,10,4031.5334000000003,10
John Wood,John,Wood,NY,no,21900,27,1448.48053,27
Jonathan Chase,Jonathan,Chase,NH,yes,3400,5,2317.2111,5
Jonathan Cogswell,Jonathan,Cogswell,MA,yes,4400,9,205.14996999999997,9
Jonathan Day,Jonathan,Day,MA,no,1100,3,59.90417,3
Jonathan Freeman,Jonathan,Freeman,NH,yes,400,1,400.0,1
Jonathan Gillet,Jonathan,Gillet,CT,no,700,2,110.39583,2
