,delegate name,First Name,Last Name,delegate_state,sign,Dollars_sum,Dollars_count,90th_sum,90th_count,Total_assets,sign_coded
224,John Hunn,John,Hunn,PA,yes,13900,21,1045.1179799999998,21,13911.612422,1.0
225,John Hunt,John,Hunt,NC,yes,1000,2,165.23337,2,1001.8359263333333,1.0
226,John Hunter,John,Hunter,SC,yes,18300,12,1559.97482,12,18317.333053555554,1.0
227,John Ingram,John,Ingram,DE,yes,1200,3,116.21667000000001,3,1201.2912963333333,1.0
228,John Jacob Faesch ,John Jacob,Faesch ,NJ,yes,500,2,43.166669999999996,2,500.47962966666665,1.0
229,John Jay,John,Jay,NY,yes,8900,15,8719.3542,15,8996.881713333334,1.0
230,John Johnston,John,Johnston,NC,yes,33800,56,5689.030769999997,56,33863.211453,1.0
231,John Jones,John,Jones,DE,yes,53000,86,13422.693919999998,86,53149.14104355556,1.0
232,John K. Smith,John K.,Smith,MA,yes,23900,42,2011.0513799999994,42,23922.345015333332,1.0
233,John Kean,John,Kean,SC,yes,9600,13,1121.6416100000001,13,9612.462684555556,1.0
234,John King,John,King,GA,yes,19600,11,702.1806429999999,11,19607.802007144444,1.0
235,John Langdon,John,Langdon,Constitution,yes,42200,112,26977.611679999984,112,42499.75124088889,1.0
236,John Laws,John,Laws,DE,yes,300,1,29.808329999999998,1,300.3312036666667,1.0
237,John Lewis Bourquin,John Lewis,Bourquin,SC,no,2800,7,821.68753,7,2809.1298614444445,0.0
238,John Lewis Gervias,John Lewis,Gervias,SC,no,2800,7,821.68753,7,2809.1298614444445,0.0
239,John Lindsey,John,Lindsey,SC,no,500,1,12.5,1,500.1388888888889,0.0
240,John Lloyd,John,Lloyd,SC,yes,7500,19,7500.0,19,7583.333333333333,1.0
241,John Logan,John,Logan,VA,no,300,1,24.14167,1,300.2682407777778,0.0
242,John Lowry,John,Lowry,SC,no,1091,1,97.55358000000001,1,1092.0839286666667,0.0
243,John Ludwig,John,Ludwig,PA,no,1000,1,39.5,1,1000.4388888888889,0.0
244,John Marshall,John,Marshall,VA,yes,5200,8,239.881934,8,5202.665354822222,1.0
245,John Matthews,John,Matthews,SC,yes,15600,7,491.00834,7,15605.455648222221,1.0
246,John McPherson,John,McPherson,SC,yes,35900,11,3312.5181999999995,11,35936.80575777778,1.0
247,John Miller,John,Miller,VA,no,13600,25,3246.1930239999997,25,13636.068811377778,0.0
248,John Minot,John,Minot,MA,no,10900,20,719.8653300000001,20,10907.998503666666,0.0
249,John Montgomery,John,Montgomery,SC,no,3300,6,224.07084000000003,6,3302.489676,0.0
250,John Moore,John,Moore,NC,yes,6000,9,3669.01805,9,6040.766867222223,1.0
251,John Neilson,John,Neilson,NJ,yes,9000,9,384.52637000000004,9,9004.272515222223,1.0
252,John Palmer,John,Palmer,SC,yes,3100,8,2207.9917,8,3124.5332411111112,1.0
253,John Parker,John,Parker,SC,yes,1100,3,106.30417,3,1101.1811574444444,1.0
254,John Parnham,John,Parnham,MD,yes,2700,7,590.09163,7,2706.5565736666667,1.0
255,John Phelps,John,Phelps,CT,yes,1600,4,1600.0,4,1617.7777777777778,1.0
256,John Pickering,John,Pickering,NH,yes,1500,4,135.56667000000002,4,1501.5062963333332,1.0
