,full name,state,state debt,Same State Loan Office,Different State Loan Office,Same State Liquidated Debt,Different State Liquidated Debt,Pierce Certificates,Total,SSLO Total,DSLO Total,SSLD Total,DSLD Total,PC Total,Debt Total,tot_pre1790_certs
1374,['Joseph Carpenter'],NY,CT,['Joseph Carpenter'],['Joseph Carpenter'],['Joseph Carpenter'],['Joseph Carpenter'],,71.07,71.07778,60.55556,0.0,766.3666666666667,0.0,898.0000066666666,4
1375,['Joseph Cauffman'],PA,PA,,,,,,175.9,0.0,0.0,0.0,0.0,0.0,0.0,0
1376,['Joseph Clarke'],RI,RI,"['Joseph Clark', 'Joseph Clarke']","['Joseph Clark', 'Joseph Clarke']",['Joseph Clark'],['Joseph Clark'],"['Joseph Clark', 'Joseph Clare', 'Joseph Clarke']",35730.34,0.0,481.29581,0.0,269.4222222222222,675.55,1426.2680322222222,5
1377,['Joseph Colton'],CT,CT,,,,,,120.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1378,['Joseph Cram'],NH,NH,['Joseph Cram'],,,,,664.32,401.77779999999996,0.0,0.0,0.0,0.0,401.77779999999996,1
1379,['Joseph Crawford'],PA,PA,,,,['Joseph Crawford'],,1926.51,0.0,0.0,0.0,5.0,0.0,5.0,1
1380,['Joseph Crawford'],RI,RI,,,,['Joseph Crawford'],,377.16,0.0,0.0,0.0,5.0,0.0,5.0,1
1381,['Joseph Crocker'],CT,CT,['Joseph Crocker'],,,,['Joseph Crocker'],284.45,18.28611,0.0,0.0,0.0,21.7,39.98611,2
1382,['Joseph Dacosta'],GA,GA,,,,,,32.1048,0.0,0.0,0.0,0.0,0.0,0.0,0
1383,['Joseph Donaldson'],MD,MD,,,,,,92.91,0.0,0.0,0.0,0.0,0.0,0.0,0
1384,['Joseph E Rowles'],MD,MD,,,,,,1428.49,0.0,0.0,0.0,0.0,0.0,0.0,0
1385,['Joseph Eddy'],RI,RI,,,,,,74.64,0.0,0.0,0.0,0.0,0.0,0.0,0
1386,['Joseph Fry'],PA,PA,,,['Joseph Fry'],,,305.25,0.0,0.0,71.47777777777777,0.0,0.0,71.47777777777777,1
1387,['Joseph Gardner'],RI,RI,,,,,,1238.57,0.0,0.0,0.0,0.0,0.0,0.0,0
1388,['Joseph Gibbons'],PA,PA,,,"['Joseph Gibbons', 'joseph gibbons']",,,561.84,0.0,0.0,455.1777777777778,0.0,0.0,455.1777777777778,1
1389,['Joseph Gilford'],RI,RI,,,,,,247.12,0.0,0.0,0.0,0.0,0.0,0.0,0
1390,['Joseph Gilley'],NH,NH,,,,,,5963.77,0.0,0.0,0.0,0.0,0.0,0.0,0
1391,['Joseph Green'],NC,NC,,,,,,127.87,0.0,0.0,0.0,0.0,0.0,0.0,0
1392,['Joseph Greer'],PA,PA,['Joseph Greer'],,['Joseph Greer'],,,200.88,1078.9666200000001,0.0,123.61111111111111,0.0,0.0,1202.5777311111112,2
1393,['Joseph H Shepard'],NH,NH,,['Joseph Shepard'],,['Joseph Shepard'],,219.24,0.0,418.9945,0.0,2.0,0.0,420.9945,2
1394,['Joseph Hall'],NH,NH,,['Joseph Hall'],,,['Joseph Hall'],322.48,0.0,927.0555399999998,0.0,0.0,404.74,1331.7955399999998,2
1395,['Joseph Heister'],PA,PA,['Joseph Heister'],,['Joseph Heister'],,,23105.61,2211.91366,0.0,59.044444444444444,0.0,0.0,2270.9581044444444,2
1396,['Joseph Hicks'],NH,NH,,,,,,124.49,0.0,0.0,0.0,0.0,0.0,0.0,0
1397,['Joseph Higgins'],CT,CT,['Joseph Higgns'],,,,['Joseph Higgins'],1013.99,23.9125,0.0,0.0,0.0,667.35,691.2625,2
1398,['Joseph Horsfield'],PA,PA,,,,,,5279.55,0.0,0.0,0.0,0.0,0.0,0.0,0
1399,['Joseph Hovey'],CT,CT,['Joseph Hovey'],,,,,317.65,900.0,0.0,0.0,0.0,0.0,900.0,1
1400,['Joseph Howland'],CT,CT,['Joseph Howland'],,,,,2938.9,900.0,0.0,0.0,0.0,0.0,900.0,1
