,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,county,name_type,6p_total
219,150.0,47.0,75.0,23.0,173.0,92.0,Wethersfield,CT,,Hartford County,town,150.47
220,20.0,33.0,10.0,17.0,,,New Haven,CT,,New Haven County,town,20.33
221,549.0,89.0,274.0,94.0,528.0,,Wethersfield,CT,,Hartford County,town,549.89
222,266.0,66.0,133.0,34.0,278.0,,Farmington,CT,,Hartford County,town,266.66
223,446.0,1.0,223.0,1.0,240.0,,New London,CT,,New London County,town,446.01
224,268.0,85.0,134.0,43.0,270.0,14.0,Killingworth,CT,,Middlesex County,town,268.85
225,306.0,7.0,153.0,4.0,86.0,56.0,Killingworth,CT,,Middlesex County,town,306.07
226,3179.0,21.0,1589.0,61.0,2833.0,34.0,Bolton,CT,,Tolland County,town,3179.21
227,207.0,53.0,103.0,76.0,144.0,75.0,Killingworth,CT,,Middlesex County,town,207.53
228,222.0,32.0,111.0,16.0,240.0,,Sturbridge MA,MA,,Worcester County,town,222.32
229,218.0,3.0,109.0,2.0,209.0,19.0,Suffield,CT,,Hartford County,town,218.03
230,432.0,66.0,216.0,33.0,237.0,91.0,Goshen,CT,,Litchfield County,town,432.66
231,32.0,33.0,16.0,17.0,35.0,85.0,Norwich,CT,,New London County,town,32.33
232,97.0,75.0,48.0,88.0,71.0,60.0,Suffield,CT,,Hartford County,town,97.75
233,109.0,75.0,54.0,87.0,89.0,81.0,Wethersfield,CT,,Hartford County,town,109.75
234,173.0,77.0,86.0,89.0,198.0,7.0,Berlin,CT,,Hartford County,town,173.77
235,50.0,29.0,25.0,15.0,36.0,21.0,Chatham,CT,,Middlesex County,town,50.29
236,25.0,0.0,12.0,51.0,17.0,17.0,Wethersfield,CT,,Hartford County,town,25.0
237,3286.0,61.0,1643.0,30.0,1996.0,12.0,New London,CT,,New London County,town,3286.61
238,10412.0,40.0,5206.0,20.0,9168.0,87.0,Lyme,CT,,New London County,town,10412.4
239,2479.0,33.0,1239.0,67.0,2222.0,70.0,Lyme,CT,,New London County,town,2479.33
240,1266.0,67.0,633.0,33.0,751.0,,Norwich,CT,Administrator to J McCurdy,New London County,town,1266.67
241,457.0,86.0,228.0,92.0,162.0,,Derby,CT,,New Haven County,town,457.86
242,1020.0,45.0,510.0,22.0,816.0,,Norwich,CT,Guardian to Betsey Coit,New London County,town,1020.45
243,7836.0,56.0,3918.0,28.0,8728.0,21.0,Norwich,CT,,New London County,town,7836.56
244,2147.0,5.0,1073.0,52.0,3034.0,,Norwich,CT,Administrator to J McCurdy,New London County,town,2147.05
245,342.0,70.0,171.0,35.0,231.0,,Newport State of Rhode Island,RI,,Newport County,town,342.7
246,523.0,80.0,261.0,90.0,298.0,,Plainfield,CT,,Windham County,town,523.8
247,220.0,49.0,110.0,25.0,59.0,53.0,Plainfield,CT,Committee of the 1st Society of Plainville,Windham County,town,220.49
248,2103.0,59.0,1051.0,80.0,1472.0,27.0,Lyme,CT,,New London County,town,2103.59
249,422.0,38.0,211.0,19.0,348.0,23.0,Granby,CT,,Hartford County,town,422.38
250,478.0,86.0,239.0,43.0,344.0,78.0,Lyme,CT,,New London County,town,478.86
251,400.0,0.0,200.0,,309.0,80.0,Brooklyn,CT,,Windham County,town,400.0
252,433.0,28.0,216.0,64.0,355.0,8.0,State of New York,NY,,,state,433.28
253,539.0,6.0,269.0,54.0,569.0,,Fairfield,CT,,Fairfield County,town,539.06
254,74.0,58.0,37.0,29.0,222.0,99.0,Windsor,CT,,Hartford County,town,74.58
255,352.0,47.0,176.0,23.0,136.0,85.0,Farmington,CT,,Hartford County,town,352.47
256,163.0,1.0,81.0,50.0,111.0,65.0,Hartford,CT,,Hartford County,town,163.01
257,23.0,61.0,11.0,81.0,24.0,92.0,Guilford,CT,,New Haven County,town,23.61
258,95.0,96.0,47.0,98.0,105.0,72.0,Guilford,CT,,New Haven County,town,95.96
259,997.0,97.0,498.0,99.0,726.0,11.0,Hartford,CT,,Hartford County,town,997.97
260,88.0,93.0,44.0,47.0,28.0,61.0,Groton,CT,,New London County,town,88.93
261,297.0,29.0,148.0,65.0,276.0,74.0,Groton,CT,,New London County,town,297.29
262,7.0,50.0,3.0,75.0,5.0,88.0,Groton,CT,,New London County,town,7.5
263,81.0,96.0,40.0,97.0,22.0,12.0,Groton,CT,,New London County,town,81.96
264,11.0,84.0,5.0,92.0,8.0,52.0,Groton,CT,,New London County,town,11.84
265,159.0,21.0,79.0,61.0,107.0,20.0,Groton,CT,,New London County,town,159.21
266,15.0,79.0,7.0,89.0,11.0,35.0,Groton,CT,,New London County,town,15.79
267,9.0,60.0,4.0,80.0,6.0,90.0,East Windsor,CT,,Hartford County,town,9.6
268,143.0,67.0,71.0,84.0,302.0,89.0,Hartford,CT,,Hartford County,town,143.67
269,53.0,33.0,26.0,67.0,19.0,20.0,Killingworth,CT,,Middlesex County,town,53.33
270,167.0,6.0,83.0,53.0,116.0,56.0,Killingworth,CT,Guardian to Sally Morgan,Middlesex County,town,167.06
271,266.0,67.0,133.0,33.0,206.0,73.0,Killingworth,CT,,Middlesex County,town,266.67
272,10426.0,95.0,5213.0,48.0,3376.0,33.0,Roxbury,CT,,Litchfield County,town,10426.95
273,200.0,0.0,100.0,,167.0,50.0,Killingworth,CT,,Middlesex County,town,200.0
274,436.0,3.0,218.0,2.0,551.0,30.0,New Hartford,CT,,Litchfield County,town,436.03
275,53.0,33.0,26.0,67.0,14.0,40.0,Killingworth,CT,,Middlesex County,town,53.33
276,131.0,34.0,65.0,67.0,144.0,,Preston,CT,,New London County,town,131.34
277,469.0,13.0,234.0,56.0,364.0,3.0,Preston,CT,,New London County,town,469.13
278,301.0,78.0,150.0,89.0,206.0,,Hartford,CT,Merchant,Hartford County,town,301.78
279,506.0,93.0,253.0,47.0,500.0,15.0,Hartford,CT,Merchant,Hartford County,town,506.93
280,77.0,61.0,38.0,81.0,96.0,,Windham,CT,,Windham County,town,77.61
281,155.0,23.0,77.0,61.0,212.0,33.0,Windham,CT,Farmer,Windham County,town,155.23
282,77.0,61.0,38.0,81.0,106.0,17.0,Windham,CT,Adminstrator to the Estate of Ezekiel Carey Deceased,Windham County,town,77.61
283,1309.0,43.0,654.0,72.0,1056.0,,Norwich,CT,,New London County,town,1309.43
