,,,,,Dollars,Dollars,90th,90th
,,,,,sum,count,sum,count
Stevens Thomson Mason,Stevens Thomson,Mason,VA,no,128.0,1,0,0
Thomas  Collins,Thomas ,Collins,DE,yes,140.0,2,36.0,1
Thomas Allen,Thomas,Allen,VA,no,4.0,3,71.0,3
Thomas Anderson,Thomas,Anderson,NJ,yes,402.0,6,380.0,6
Thomas Brown,Thomas,Brown,NC,no,1206.0,14,279.0,7
Thomas Chase,Thomas,Chase,NH,no,1440.0,1,0,0
Thomas Cooper,Thomas,Cooper,VA,no,8.0,2,120.0,2
Thomas Daniell,Thomas,Daniell,GA,yes,63.0,1,27.0,1
Thomas Davis,Thomas,Davis,MA,yes,120.0,2,65.0,2
Thomas Evans,Thomas,Evans,DE,yes,140.0,3,121.0,3
Thomas Gaskins,Thomas,Gaskins,VA,yes,7200.0,1,0,0
Thomas Hines,Thomas,Hines,NC,yes,10.0,1,0,0
Thomas Johnson,Thomas,Johnson,MD,yes,415.0,5,180.0,4
Thomas Johnston,Thomas,Johnston,NC,yes,415.0,5,180.0,4
Thomas Jones,Thomas,Jones,MA,yes,687.0,19,601.0,15
Thomas Lewis,Thomas,Lewis,VA,yes,15.0,3,11,1
Thomas Owen,Thomas,Owen,NC,yes,103.0,5,168.0,4
Thomas P. Williams,Thomas P.,Williams,NC,yes,1625.0,5,224.0,5
Thomas Person,Thomas,Person,NC,no,101.0,1,50.0,1
Thomas Read,Thomas,Read,VA,no,69.0,2,45.0,1
Thomas Reynolds,Thomas,Reynolds,NJ,yes,133.0,2,93.0,2
Thomas Russel,Thomas,Russel,MA,yes,80.0,4,104.0,3
Thomas Scott,Thomas,Scott,PA,yes,2633.0,9,236.0,6
Thomas Sim Lee,Thomas Sim,Lee,MD,yes,297.0,4,101.0,3
Thomas Smith,Thomas,Smith,VA,yes,1134.0,11,163.0,6
Thomas Stewart,Thomas,Stewart,NC,yes,203.0,1,26.0,1
Thomas Taylor,Thomas,Taylor,SC,no,29.0,3,60.0,1
Thomas Walke,Thomas,Walke,VA,yes,414.0,2,12.0,1
Thomas Wastson,Thomas,Wastson,DE,yes,18.0,1,30.0,1
Thomas Williams,Thomas,Williams,NC,no,1635.0,6,260.0,6
Thomas Yardley,Thomas,Yardley,PA,yes,21.0,2,56.0,1
Timothy Taylor,Timothy,Taylor,NH,no,33.0,1,41.0,1
Tristam Dalton,Tristam,Dalton,MA,yes,12.0,1,45.0,1
Volkert Veeder,Volkert,Veeder,NY,no,693.0,6,179,4
Wait Goodrich,Wait,Goodrich,CT,yes,6.0,1,23.0,1
Walter Smith,Walter,Smith,MD,yes,360.0,4,92.0,2
William  Findley,William ,Findley,PA,no,38.0,3,40.0,2
William Abbott,William,Abbott,NH,yes,770.0,2,0,0
William Bailey ,William,Bailey ,NC,yes,5.0,1,56.0,1
William Baylies,William,Baylies,MA,yes,304.0,2,80.0,2
