,,,,,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
Samuel  Richardson,Samuel ,Richardson,VA,no,216.0,1,48.0,1,108.0,1,24.0,1,162.0,1,35.0,1
William Richardson,William,Richardson,MD,yes,1384.0,8,416.0,8,692.0,8,208.0,8,1036.0,8,508.0,8
Jeremiah Ripley,Jeremiah,Ripley,CT,yes,1831.0,1,86.0,1,915.0,1,94.0,1,1373.0,1,90.0,1
Alexander Robertson,Alexander,Robertson,VA,no,4774.0,1,27.0,1,529.0,1,82.0,1,794.0,1,74.0,1
William Robinson,William,Robinson,NC,no,1105.0,2,165.0,2,552.0,2,133.0,2,829.0,2,99.0,2
William Robison,William,Robison,SC,yes,1105.0,2,165.0,2,552.0,2,133.0,2,829.0,2,99.0,2
Ephraim Root,Ephraim,Root,CT,yes,722.0,2,104.0,2,641.0,2,130.0,2,542.0,2,30.0,2
Nathaniel Russell,Nathaniel,Russell,SC,yes,17584.0,1,0.8100000000013097,1,8792.0,1,0.3999999999996362,1,13188.0,1,0.6000000000003638,1
John Rutledge,John,Rutledge,SC,yes,579.0,1,0.2799999999999727,1,289.0,1,0.6299999999999955,1,434.0,1,0.44999999999998863,1
John Rutledge,John,Rutledge,Constitution,yes,579.0,1,0.2799999999999727,1,289.0,1,0.6299999999999955,1,434.0,1,0.44999999999998863,1
Edward Rutledge,Edward,Rutledge,SC,yes,591.0,1,0.67999999999995,1,295.0,1,0.839999999999975,1,443.0,1,0.7599999999999909,1
Hugh Rutledge,Hugh,Rutledge,SC,yes,180.0,1,0.5600000000000023,1,90.0,1,0.269999999999996,1,135.0,1,0.4099999999999966,1
William Scott,William,Scott,SC,yes,3790.0,1,0.40000000000009095,1,1895.0,1,0.19000000000005457,1,2842.0,1,0.7899999999999636,1
John Scott,John,Scott,NC,no,97.0,1,74.0,1,48.0,1,87.0,1,73.0,1,30.0,1
Thomas Screven,Thomas,Screven,SC,yes,662.0,2,1.0400000000000205,2,331.0,2,0.5000000000000142,2,497.0,2,0.2599999999999909,2
